id,EAP,HPL,MWS
id02310,0.37709710001945496,0.09618184715509415,0.5267210602760315
id24541,0.0001466490066377446,0.011509032920002937,0.9883443117141724
id00134,0.10197081416845322,0.888353705406189,0.00967549066990614
id27757,0.12182369083166122,0.8781651258468628,1.118966429203283e-05
id04081,0.8299039602279663,0.005286713130772114,0.16480931639671326
id27337,0.32232871651649475,0.6773160099983215,0.0003552383277565241
id24265,0.3262273669242859,0.31845948100090027,0.35531315207481384
id25917,0.43638989329338074,0.0005429908051155508,0.5630671381950378
id04951,0.13523627817630768,0.7644257545471191,0.10033798962831497
id14549,0.16868862509727478,0.6338776350021362,0.197433739900589
id22505,0.022998986765742302,0.8832681179046631,0.09373292326927185
id24002,0.17935504019260406,0.813959002494812,0.006685949396342039
id18982,0.06929009407758713,0.8748595118522644,0.05585038661956787
id15181,0.3325764834880829,0.39745664596557617,0.26996690034866333
id21888,0.48823612928390503,0.0475030280649662,0.46426084637641907
id12035,0.31026214361190796,0.11239214241504669,0.5773457288742065
id17991,0.7554680705070496,0.1506880223751068,0.09384393692016602
id10707,0.01527958083897829,0.002156907459720969,0.9825634956359863
id07101,0.06953100860118866,0.008089352399110794,0.9223796129226685
id00345,0.7829729318618774,0.007688707672059536,0.20933836698532104
id05912,0.8815761208534241,0.008473147638142109,0.10995074361562729
id13443,0.09042797982692719,0.3833281993865967,0.5262438058853149
id09248,0.18640685081481934,0.681888222694397,0.1317049115896225
id17542,0.9508267045021057,0.006144547834992409,0.043028753250837326
id06995,0.9977614283561707,0.002137159463018179,0.0001013852670439519
id25159,0.13500328361988068,0.00024660854251123965,0.8647500872612
id25729,0.12098095566034317,0.8525360822677612,0.026482947170734406
id26949,0.8595598936080933,0.09337358921766281,0.04706653952598572
id27191,0.013487804681062698,0.005468631163239479,0.9810435771942139
id07668,0.9152783155441284,0.00039013358764350414,0.08433157205581665
id02230,0.3013004660606384,0.6888461709022522,0.009853329509496689
id15553,0.056768450886011124,0.9420442581176758,0.001187285059131682
id25688,0.9473462700843811,0.01918836496770382,0.03346535563468933
id17545,0.1710822731256485,0.3866364061832428,0.4422813057899475
id13929,0.9738129377365112,0.0003502524923533201,0.025836825370788574
id12880,0.9968032240867615,0.0004424356739036739,0.002754347864538431
id19282,0.004465898033231497,0.22111710906028748,0.774416983127594
id14690,0.5890984535217285,0.21282356977462769,0.198077991604805
id17975,0.09441253542900085,0.8761845231056213,0.029402922838926315
id08037,0.560698390007019,0.326887845993042,0.11241374164819717
id15412,0.7709956765174866,0.051857586950063705,0.17714671790599823
id25032,0.6517020463943481,0.07428697496652603,0.2740109860897064
id27165,0.2485102117061615,0.6573628783226013,0.09412692487239838
id03327,0.1580108255147934,0.048863254487514496,0.7931259274482727
id18515,0.0020679812878370285,0.9977661967277527,0.00016583481919951737
id21003,0.9561725854873657,0.01849573478102684,0.025331664830446243
id23855,0.32713523507118225,0.3150539994239807,0.35781076550483704
id20724,0.258338063955307,0.07304126024246216,0.6686206459999084
id13303,0.34797370433807373,0.511257529258728,0.14076876640319824
id16521,0.06138674169778824,0.48885148763656616,0.4497617781162262
id20775,0.608267068862915,0.03924816474318504,0.3524847626686096
id13029,0.9165440797805786,0.07241939008235931,0.011036553420126438
id14660,0.21900148689746857,0.7780847549438477,0.0029137663077563047
id11028,0.3759145140647888,0.10752984136343002,0.516555666923523
id14180,0.7877702116966248,0.05386143550276756,0.1583683341741562
id25860,0.9993879795074463,0.00014797683979850262,0.00046406869660131633
id11910,0.8250210881233215,0.01276483852416277,0.16221407055854797
id08065,0.04817257076501846,0.8045498132705688,0.1472775936126709
id22674,0.9894630908966064,0.010164809413254261,0.00037209203583188355
id25018,0.003319558221846819,0.9816157817840576,0.01506468839943409
id10892,0.9778823852539062,0.021924277767539024,0.0001933415187522769
id10217,0.2644564211368561,0.2669154405593872,0.4686281383037567
id12996,0.9688490033149719,0.0014589800266548991,0.0296920333057642
id18262,0.8556392192840576,0.14286598563194275,0.0014948113821446896
id08606,0.8676287531852722,0.09938475489616394,0.03298649564385414
id17233,0.8719162344932556,0.0968589335680008,0.031224817037582397
id00101,0.9515527486801147,0.022460514679551125,0.02598673477768898
id12225,0.9174832701683044,0.0016539741773158312,0.08086278289556503
id01364,0.01816190965473652,0.04635890945792198,0.9354791641235352
id24973,0.2509708106517792,0.11828533560037613,0.6307438611984253
id25363,0.10047744959592819,2.746515193052801e-08,0.8995225429534912
id10061,0.4920859634876251,0.5051024556159973,0.0028115890454500914
id17673,0.19359825551509857,0.19693073630332947,0.6094710230827332
id13249,0.3224168121814728,0.087548166513443,0.5900350213050842
id10107,0.2687390446662903,0.7201750874519348,0.01108585111796856
id04403,0.04969053715467453,0.04158266633749008,0.9087268114089966
id25728,0.29889965057373047,0.6812402606010437,0.019860079512000084
id16184,0.3009030222892761,0.046986695379018784,0.6521102786064148
id03438,0.30490222573280334,0.5119277238845825,0.18317003548145294
id22923,0.01479312963783741,0.9843308329582214,0.0008760535274632275
id08610,0.6535767316818237,0.31432536244392395,0.03209788724780083
